role       permission_key             permission_description   
---------  -------------------------  -------------------------
Admin      apply_leave                Apply leave              
Admin      apply_leave                Apply leave              
Admin      approve_leave              Approve leave            
Admin      approve_leave              Approve leave            
Admin      assign_leads               Assign leads             
Admin      assign_leads               Assign leads             
Admin      assign_project_team        Assign project team      
Admin      assign_project_team        Assign project team      
Admin      assign_roles               Assign roles             
Admin      assign_roles               Assign roles             
Admin      assign_task                Assign task              
Admin      assign_task                Assign task              
Admin      clock_attendance           Clock in/out             
Admin      clock_attendance           Clock in/out             
Admin      comment_attendance         Comment attendance       
Admin      comment_attendance         Comment attendance       
Admin      comment_eod                Comment EOD              
Admin      comment_eod                Comment EOD              
Admin      comment_leave              Comment leave            
Admin      comment_leave              Comment leave            
Admin      comment_sales              Comment on leads         
Admin      comment_sales              Comment on leads         
Admin      comment_task               Comment task             
Admin      comment_task               Comment task             
Admin      convert_client             Convert lead to client   
Admin      convert_client             Convert lead to client   
Admin      create_project             Create project           
Admin      create_project             Create project           
Admin      create_task                Create task              
Admin      create_task                Create task              
Admin      create_user                Create new users         
Admin      create_user                Create new users         
Admin      delete_data                Delete data              
Admin      delete_data                Delete data              
Admin      delete_eod                 Delete EOD               
Admin      delete_eod                 Delete EOD               
Admin      delete_project             Delete project           
Admin      delete_project             Delete project           
Admin      delete_task                Delete task              
Admin      delete_task                Delete task              
Admin      delete_user                Delete / deactivate users
Admin      delete_user                Delete / deactivate users
Admin      edit_project               Edit project             
Admin      edit_project               Edit project             
Admin      edit_task                  Edit task                
Admin      edit_task                  Edit task                
Admin      edit_user                  Edit user details        
Admin      edit_user                  Edit user details        
Admin      manage_data_categories     Manage data categories   
Admin      manage_data_categories     Manage data categories   
Admin      manage_departments         Manage departments       
Admin      manage_departments         Manage departments       
Admin      manage_roles               Manage roles             
Admin      manage_roles               Manage roles             
Admin      manage_settings            Manage settings          
Admin      manage_settings            Manage settings          
Admin      manage_teams               Manage teams             
Admin      manage_teams               Manage teams             
Admin      reset_password             Reset any user password  
Admin      reset_password             Reset any user password  
Admin      submit_eod                 Submit EOD               
Admin      submit_eod                 Submit EOD               
Admin      update_sales               Update sales             
Admin      update_sales               Update sales             
Admin      upload_data                Upload data              
Admin      upload_data                Upload data              
Admin      view_activity_logs         View activity logs       
Admin      view_activity_logs         View activity logs       
Admin      view_attendance            View attendance          
Admin      view_attendance            View attendance          
Admin      view_attendance_reports    View attendance reports  
Admin      view_attendance_reports    View attendance reports  
Admin      view_dashboard_admin       Admin dashboard          
Admin      view_dashboard_admin       Admin dashboard          
Admin      view_dashboard_department  Department dashboard     
Admin      view_dashboard_department  Department dashboard     
Admin      view_dashboard_team        Team dashboard           
Admin      view_dashboard_team        Team dashboard           
Admin      view_departments           View departments         
Admin      view_departments           View departments         
Admin      view_eod                   View EOD                 
Admin      view_eod                   View EOD                 
Admin      view_leaves                View leaves              
Admin      view_leaves                View leaves              
Admin      view_projects              View projects            
Admin      view_projects              View projects            
